amount,hour,distance_km,frequency_24h,new_device,international,merchant_risk,fraud
102.88,6,2.12,5,1,0,0.619,0
38.01,0,18.3,1,0,1,0.903,0
69.57,19,2.95,0,0,0,0.712,0
6.31,19,2.85,4,0,0,0.887,0
39.63,15,20.96,3,1,1,0.229,0
146.68,12,15.79,3,0,1,0.751,0
51.18,23,0.16,2,0,1,0.288,0
23.95,0,1.31,2,0,0,0.196,0
190.93,18,11.82,1,0,0,0.585,0
178.93,22,38.54,2,0,1,0.833,0
41.87,15,13.48,4,1,0,0.14,0
31.76,10,2.44,4,0,0,0.49,0
239.38,12,4.63,6,0,1,0.192,0
38.48,15,19.33,3,1,0,0.737,0
56.64,23,16.72,4,0,1,0.923,0
403.82,23,2.25,4,0,1,0.915,0
80.39,15,9.23,3,1,0,0.039,0
40.63,13,1.3,5,1,1,0.665,0
9.24,20,32.34,5,1,1,0.713,1
69.09,21,27.82,2,0,1,0.468,0
61.15,14,66.38,1,1,1,0.044,0
35.74,22,17.46,2,1,1,0.818,0
168.27,20,18.11,3,0,0,0.922,0
18.33,10,0.28,4,1,0,0.518,0
13.7,14,10.47,4,0,0,0.242,0
30.32,13,49.23,2,0,0,0.349,0
63.15,15,0.27,3,0,1,0.555,0
14.44,7,0.31,4,0,0,0.712,0
19.91,3,5.01,5,0,1,0.605,1
27.71,3,25.36,1,1,1,0.734,1
60.87,16,39.93,6,0,1,0.862,1
30.87,18,56.78,5,1,0,0.662,1
165.08,17,4.41,3,0,0,0.921,0
6.76,21,56.89,0,1,1,0.262,0
91.89,4,3.15,3,1,0,0.955,0
33.69,20,4.96,1,0,0,0.94,0
96.85,4,0.83,6,0,0,0.805,0
438.53,23,8.25,1,1,1,0.52,0
56.64,11,3.18,2,1,0,0.566,0
73.93,15,1.43,2,0,1,0.597,0
140.05,21,22.06,4,0,1,0.479,0
16.11,15,14.2,5,1,0,0.392,0
117.73,0,19.03,5,0,1,0.087,0
137.33,19,1.85,0,1,0,0.601,0
53.06,2,15.78,2,1,1,0.429,1
116.89,12,3.36,2,0,1,0.066,0
69.19,13,18.18,6,1,0,0.996,1
28.37,0,31.39,4,1,0,0.128,0
16.35,12,5.54,0,0,0,0.243,0
162.38,21,1.24,2,0,1,0.806,0
361.27,18,1.53,1,1,0,0.414,0
27.75,14,27.57,2,1,1,0.753,0
88.09,7,51.25,6,1,1,0.799,1
18.12,12,0.85,3,0,1,0.367,0
38.13,1,3.53,2,1,0,0.511,0
37.21,15,22.86,3,1,1,0.34,0
19.56,12,53.2,5,1,0,0.131,0
56.77,2,5.91,4,0,0,0.522,0
165.03,21,8.64,3,0,1,0.523,0
107.29,7,15.61,3,0,1,0.057,0
36.58,23,50.42,2,0,1,0.417,0
254.61,4,31.61,3,0,0,0.202,0
76.49,16,17.89,7,1,1,0.949,1
372.98,10,0.56,3,1,0,0.071,0
16.68,3,0.48,6,1,0,0.281,0
1260.85,17,27.65,2,1,1,0.606,0
51.75,20,7.11,1,1,1,0.202,0
18.94,0,11.4,6,1,0,0.864,1
21.28,19,5.73,2,0,0,0.622,0
157.24,15,7.35,0,0,1,0.761,0
153.03,6,14.61,5,0,1,0.996,0
139.55,2,20.4,1,1,0,0.627,0
113.88,0,6.84,4,1,1,0.28,1
20.08,22,6.55,3,0,1,0.092,0
53.71,4,5.51,5,0,0,0.206,0
6.14,7,12.23,0,1,1,0.25,0
25.9,2,15.46,0,0,1,0.017,0
121.52,13,11.24,4,1,0,0.965,0
9.51,2,9.99,3,0,0,0.619,0
670.62,3,15.18,2,1,0,0.943,1
221.73,7,4.92,6,1,1,0.965,1
19.9,6,7.26,7,1,1,0.117,0
129.41,8,13.6,2,1,1,0.489,1
109.45,12,6.12,3,1,0,0.52,0
54.71,5,9.67,1,0,0,0.201,0
113.45,16,27.46,3,1,1,0.439,0
48.22,18,10.8,1,0,1,0.924,0
61.84,1,0.25,2,1,0,0.868,0
109.41,8,3.07,1,1,0,0.39,0
102.48,15,23.03,1,0,0,0.844,0
89.25,14,4.73,4,0,1,0.881,0
91.16,1,18.1,1,0,0,0.435,0
170.38,20,16.81,3,0,1,0.112,0
143.04,22,23.08,2,0,0,0.135,0
19.96,19,13.4,5,0,0,0.294,0
30.74,9,2.94,3,1,0,0.251,0
283.74,17,2.03,4,0,1,0.199,0
314.56,2,3.35,2,1,0,0.24,0
115.3,21,2.61,2,0,0,0.888,0
50.29,9,12.61,2,0,1,0.452,0
150.68,17,1.86,3,0,1,0.323,0
131.31,22,36.49,4,1,0,0.19,0
14.15,23,21.59,4,0,1,0.293,0
71.24,13,3.63,1,0,1,0.123,0
16.42,2,21.33,2,0,0,0.359,0
42.08,15,7.53,2,0,1,0.27,0
68.83,22,20.51,3,0,1,0.733,1
372.55,8,29.26,5,0,0,0.134,0
8.03,14,1.05,2,1,1,0.123,0
46.69,1,13.44,2,0,0,0.598,0
131.96,20,3.78,2,0,1,0.921,0
129.98,5,1.67,3,1,1,0.665,0
156.18,12,66.51,5,1,0,0.322,1
24.69,6,15.2,2,1,0,0.95,0
58.6,11,10.89,1,1,1,0.14,0
41.99,1,27.88,4,1,1,0.266,1
247.22,18,1.61,4,0,1,0.744,0
58.1,14,7.26,1,1,1,0.107,0
67.9,6,20.71,1,1,1,0.788,1
80.72,9,9.46,2,1,0,0.719,0
18.0,22,3.44,4,1,1,0.775,1
111.9,10,10.37,6,0,1,0.455,0
22.08,8,18.55,6,1,1,0.006,0
80.09,11,9.74,5,0,0,0.405,0
32.28,13,12.96,1,1,0,0.081,0
221.03,3,1.44,0,1,1,0.342,0
69.26,8,20.03,1,1,1,0.037,0
459.87,19,0.17,2,0,0,0.32,0
7.14,22,28.55,5,0,1,0.688,1
263.05,19,1.29,4,1,1,0.645,1
157.59,14,19.54,1,0,0,0.565,0
89.35,6,11.92,0,1,1,0.698,0
606.2,14,25.46,4,0,0,0.278,0
15.99,9,2.69,2,1,1,0.704,0
82.48,19,28.43,4,1,1,0.075,0
232.11,10,8.48,5,0,1,0.156,0
122.39,0,7.61,2,1,0,0.369,0
45.67,16,3.98,6,1,1,0.276,0
127.48,9,10.87,6,1,0,0.182,0
44.03,21,10.25,1,0,1,0.783,0
47.43,15,23.85,3,1,1,0.541,0
34.4,11,1.78,5,0,0,0.458,0
191.38,2,22.04,3,1,1,0.928,1
91.12,12,3.48,1,0,0,0.581,0
825.87,6,10.66,0,0,0,0.204,0
155.55,14,3.34,6,0,1,0.212,0
15.13,13,10.42,3,1,0,0.495,0
148.79,7,30.2,6,0,0,0.862,0
22.45,16,0.39,5,1,1,0.228,0
50.59,3,48.29,1,0,0,0.893,0
76.79,10,3.47,3,0,0,0.874,0
22.41,22,0.75,2,0,1,0.015,0
40.23,8,14.84,2,0,0,0.827,0
33.99,18,1.96,3,0,0,0.291,0
76.78,16,41.27,3,0,1,0.596,0
61.96,7,49.26,2,0,1,0.709,0
60.09,6,3.81,1,1,0,0.99,0
367.35,23,3.21,6,0,1,0.84,1
114.72,16,48.25,1,1,0,0.411,0
102.82,23,1.76,6,0,0,0.9,0
199.8,5,2.97,3,0,1,0.591,0
429.35,21,51.02,2,1,0,0.931,0
269.95,17,13.82,5,1,1,0.194,0
23.22,20,4.03,6,0,1,0.957,0
113.08,16,1.34,3,1,1,0.195,0
144.58,16,4.99,1,1,0,0.641,0
174.81,15,32.39,3,0,0,0.39,0
57.91,10,20.74,6,0,1,0.736,1
71.66,2,11.04,6,0,1,0.989,1
27.49,9,2.13,2,1,0,0.806,0
46.13,11,6.93,4,1,1,0.004,0
20.77,23,3.44,4,1,1,0.913,0
238.41,18,9.86,4,1,0,0.922,0
39.67,11,9.65,7,1,0,0.934,1
26.24,5,5.91,5,1,0,0.483,0
89.6,11,1.81,5,0,1,0.313,0
74.2,19,11.69,5,0,1,0.464,0
33.57,6,0.19,1,0,1,0.153,0
97.19,16,25.88,3,0,1,0.804,0
35.65,2,15.66,1,0,0,0.635,0
111.05,5,16.47,3,0,1,0.306,0
64.91,21,11.43,2,0,0,0.162,0
82.88,9,24.76,0,1,1,0.087,0
45.56,12,26.88,4,0,1,0.447,0
34.14,1,11.18,3,1,1,0.04,1
86.06,16,1.94,1,0,0,0.71,0
13.86,14,7.26,5,1,1,0.993,1
266.33,0,27.8,7,1,1,0.445,1
42.28,2,22.1,2,1,0,0.11,0
532.02,15,0.07,4,1,0,0.352,0
130.56,5,11.41,1,1,1,0.066,0
60.77,17,4.65,3,1,1,0.429,0
36.49,5,20.49,2,0,0,0.032,0
112.08,3,1.49,3,1,0,0.747,0
105.93,1,19.34,5,0,0,0.91,0
102.63,10,25.33,5,1,1,0.124,1
154.41,23,5.8,6,0,1,0.667,1
75.25,11,14.94,1,1,1,0.342,0
209.57,17,23.08,1,1,1,0.529,0
30.96,4,10.2,5,1,1,0.915,1
54.41,8,10.95,1,1,1,0.773,0
123.91,16,2.32,4,1,0,0.492,0
30.57,2,38.38,6,1,1,0.532,1
69.64,16,13.06,1,0,0,0.172,0
309.51,6,27.47,2,1,0,0.286,0
74.12,18,5.21,1,1,1,0.874,0
41.7,20,1.65,2,1,1,0.419,0
206.31,5,4.27,1,1,1,0.036,0
21.41,5,0.45,1,0,1,0.388,0
47.87,22,42.13,6,1,0,0.181,0
193.61,12,8.32,1,0,1,0.39,0
30.87,15,2.15,2,1,1,0.214,0
86.3,0,10.34,7,1,0,0.841,1
62.19,21,20.88,4,0,0,0.881,0
319.69,19,30.49,4,1,0,0.093,0
16.09,2,11.1,2,0,0,0.953,0
38.8,16,11.03,7,0,1,0.671,0
48.19,4,14.45,2,1,1,0.99,1
96.91,19,1.41,4,0,0,0.603,0
115.81,13,3.43,2,0,0,0.995,0
101.84,4,2.58,4,1,1,0.689,1
275.65,0,5.37,2,0,1,0.316,0
130.58,20,17.04,3,1,1,0.184,0
18.52,18,10.13,1,0,0,0.993,0
15.72,8,13.24,0,1,0,0.459,0
38.96,4,11.37,1,1,0,0.314,0
39.42,20,2.75,6,1,0,0.606,0
43.09,20,2.32,5,1,1,0.241,0
190.32,7,0.08,1,1,0,0.486,0
35.47,8,13.72,1,0,0,0.014,0
202.17,1,20.14,4,0,0,0.995,1
210.33,19,24.44,2,0,0,0.304,0
68.8,8,14.57,7,0,1,0.574,0
39.6,5,2.2,1,1,1,0.05,0
241.79,7,23.16,2,0,1,0.028,0
28.63,16,5.28,3,1,0,0.428,0
107.65,15,4.96,3,1,1,0.804,0
87.58,1,9.78,1,0,0,0.513,0
244.08,11,24.49,2,1,0,0.023,0
95.47,7,2.54,3,1,1,0.974,1
68.11,8,3.17,1,1,0,0.722,0
191.55,9,53.23,2,0,0,0.701,0
45.6,16,10.72,1,0,1,0.902,0
117.03,20,6.9,1,0,1,0.797,0
76.15,0,15.2,2,0,1,0.747,0
69.05,14,10.6,3,0,0,0.624,0
15.14,23,15.78,3,0,1,0.922,0
66.41,0,13.55,5,1,0,0.356,0
24.27,8,4.95,1,0,0,0.728,0
113.3,12,0.77,2,1,0,0.968,0
713.19,11,21.41,2,1,1,0.032,0
53.19,10,0.52,1,1,1,0.93,0
166.74,0,0.38,1,1,0,0.309,0
182.86,2,9.74,3,0,1,0.357,0
21.07,15,24.95,3,1,1,0.922,0
135.38,6,14.25,1,1,1,0.506,0
48.66,12,2.67,3,0,1,0.795,0
42.96,8,4.71,2,1,0,0.67,0
151.48,13,1.26,4,1,1,0.223,0
38.25,8,0.21,3,0,0,0.76,0
40.1,0,1.93,2,1,0,0.804,0
142.31,4,6.15,3,1,0,0.21,0
242.22,9,10.21,1,0,1,0.247,0
71.27,16,10.0,1,0,0,0.215,0
129.97,22,22.86,0,1,1,0.617,0
16.14,1,10.8,4,0,1,0.132,0
60.25,19,5.28,2,1,0,0.147,0
104.26,3,27.02,3,0,1,0.614,0
28.7,22,1.61,1,0,1,0.752,0
127.05,22,13.67,2,1,0,0.316,0
88.42,12,6.96,5,0,0,0.38,0
88.76,7,23.7,3,0,1,0.445,0
218.11,17,5.43,6,0,0,0.999,0
236.4,16,0.54,2,1,0,0.381,0
19.78,19,8.67,5,0,1,0.869,0
34.63,19,8.98,2,1,0,0.315,0
114.25,1,1.99,1,0,1,0.047,0
49.35,17,0.56,1,1,1,0.202,0
487.91,16,0.11,2,1,0,0.593,0
201.51,6,19.47,4,0,0,0.687,0
29.35,22,0.13,4,1,1,0.437,0
31.31,15,19.59,2,1,1,0.712,0
18.81,9,5.5,7,1,1,0.848,1
96.68,13,16.74,1,0,0,0.046,0
36.41,20,9.92,5,1,1,0.298,0
33.92,22,8.16,1,0,1,0.239,0
18.82,6,17.56,5,0,0,0.327,0
162.34,0,1.82,3,1,1,0.678,1
31.6,22,22.06,3,0,1,0.768,0
26.96,10,19.4,5,0,1,0.23,0
10.11,14,12.48,2,1,1,0.731,0
99.96,22,8.08,4,1,0,0.275,0
83.97,8,16.81,2,1,0,0.436,0
138.55,11,13.59,2,1,0,0.98,0
280.2,1,4.01,1,1,0,0.535,0
82.03,23,37.32,3,0,0,0.894,0
47.26,6,2.56,5,1,1,0.503,1
13.41,16,4.99,3,1,0,0.634,0
74.27,16,9.39,0,0,1,0.529,0
94.87,7,0.53,1,0,0,0.834,0
86.23,21,1.44,1,1,0,0.193,0
9.51,23,30.04,5,0,1,0.596,0
229.4,2,9.71,5,1,0,0.486,0
124.11,13,23.36,5,0,1,0.614,1
45.16,11,0.89,5,1,0,0.787,0
50.19,0,3.52,3,0,0,0.866,0
9.77,4,0.57,4,0,1,0.871,1
92.12,21,0.35,3,0,1,0.137,0
47.3,23,11.21,4,0,0,0.852,0
21.53,8,7.06,3,1,0,0.131,0
480.21,19,34.15,4,1,1,0.629,1
312.58,16,16.25,2,1,1,0.634,0
137.53,18,8.05,3,0,1,0.103,0
65.29,14,3.37,2,0,0,0.229,0
19.27,22,16.35,3,0,1,0.692,0
65.42,17,2.85,1,1,0,0.129,0
106.68,8,2.08,2,1,1,0.183,0
59.84,18,35.17,3,0,0,0.709,0
64.38,8,14.77,6,1,1,0.442,0
80.37,23,0.56,4,1,0,0.688,0
21.25,7,16.95,2,1,1,0.746,0
151.51,17,1.49,4,1,1,0.109,0
182.56,12,20.13,4,1,1,0.445,1
43.37,23,19.02,4,1,0,0.397,0
33.3,2,7.0,1,1,1,0.815,1
556.03,0,26.45,2,1,0,0.347,0
208.77,1,12.44,3,1,0,0.635,0
6.55,19,60.59,4,1,0,0.653,1
60.21,8,57.26,4,1,0,0.125,0
24.05,22,2.32,6,0,0,0.534,0
26.8,8,17.68,3,0,1,0.718,0
33.45,9,9.34,3,1,0,0.766,0
69.61,16,19.92,3,1,1,0.606,0
58.45,11,6.3,1,1,1,0.686,0
18.27,4,22.28,4,1,0,0.236,0
22.5,0,22.96,3,0,0,0.338,0
8.5,9,20.62,1,0,0,0.41,0
60.92,5,8.85,5,1,0,0.672,0
87.22,23,5.64,1,1,0,0.658,0
157.77,5,9.27,3,1,1,0.954,0
177.89,9,40.39,5,0,0,0.868,0
73.59,18,34.09,4,1,0,0.9,1
44.53,7,34.52,1,0,1,0.919,0
566.93,18,55.21,2,1,1,0.233,1
26.4,15,27.21,4,0,0,0.497,0
17.17,1,3.41,6,0,1,0.727,1
42.03,8,46.89,2,0,1,0.508,0
81.01,22,4.23,2,1,1,0.427,0
257.25,10,33.85,3,1,0,0.138,0
41.55,23,7.09,4,1,0,0.794,0
13.19,1,6.37,5,0,0,0.678,0
138.83,22,5.96,2,0,0,0.956,0
42.45,2,82.5,3,0,1,0.837,1
22.9,15,1.78,3,1,1,0.185,0
26.77,10,14.38,1,0,1,0.699,0
76.02,21,1.92,5,0,0,0.313,0
11.39,13,40.31,7,1,0,0.642,0
291.33,13,1.82,0,0,0,0.257,0
56.28,9,8.06,2,1,0,0.203,0
69.69,18,33.08,4,1,0,0.346,0
189.89,18,1.86,1,1,0,0.335,0
31.48,2,20.45,3,0,0,0.519,0
70.71,1,35.53,3,0,1,0.113,0
61.02,23,7.97,2,1,1,0.917,0
107.45,18,71.49,5,0,1,0.506,1
766.9,6,14.62,4,1,0,0.254,0
22.16,15,18.43,2,0,1,0.111,0
62.03,20,3.41,2,0,0,0.638,0
551.52,23,21.54,4,1,0,0.626,0
27.02,2,10.24,3,1,1,0.568,1
334.26,4,1.56,2,0,0,0.606,0
72.04,16,5.08,4,1,1,0.042,1
186.46,13,11.27,2,1,0,0.252,0
116.71,0,4.78,4,0,0,0.328,0
91.56,7,2.56,2,0,0,0.98,0
27.32,11,12.1,6,1,0,0.514,0
57.44,21,6.09,2,1,0,0.101,0
132.13,1,16.72,1,0,1,0.647,0
45.32,22,9.81,3,1,1,0.609,0
22.5,10,20.92,2,0,1,0.017,0
24.97,11,6.09,2,1,1,0.083,0
274.07,4,8.44,1,0,1,0.271,0
328.84,10,4.64,2,0,0,0.456,0
32.48,3,3.95,2,1,0,0.813,1
65.22,1,13.45,3,1,1,0.072,1
230.73,8,2.22,4,1,1,0.738,0
89.32,11,3.29,3,0,1,0.942,0
71.24,19,67.96,2,1,0,0.988,1
123.61,18,41.79,5,0,0,0.952,0
22.0,14,6.99,1,0,0,0.237,0
33.62,9,22.38,0,0,0,0.651,0
143.31,19,27.34,2,0,1,0.066,0
81.56,12,15.09,4,1,1,0.392,1
105.88,16,69.97,1,0,1,0.592,0
73.07,14,8.68,6,1,0,0.171,0
18.34,3,36.2,1,0,1,0.585,0
101.89,1,1.51,3,1,0,0.839,0
244.39,22,13.13,0,0,0,0.103,0
111.79,17,4.8,1,0,0,0.983,0
138.83,15,7.82,3,0,1,0.643,0
26.1,2,5.31,4,0,0,0.0,0
51.97,19,11.4,5,0,1,0.871,0
42.36,0,24.79,1,1,0,0.41,1
40.24,13,16.15,6,0,0,0.76,0
35.91,23,23.7,3,1,1,0.894,1
120.68,3,0.31,2,1,0,0.937,0
115.99,8,8.49,3,1,1,0.317,0
155.42,20,1.12,1,1,1,0.688,0
404.82,14,4.29,1,0,1,0.783,0
79.5,8,0.61,2,1,0,0.889,0
106.62,20,22.45,6,0,1,0.968,1
79.98,17,27.19,3,0,1,0.39,0
13.3,0,5.08,3,1,0,0.671,0
23.15,10,8.96,0,1,1,0.403,0
106.77,5,9.42,4,1,0,0.882,0
43.07,9,7.62,3,1,1,0.03,0
63.49,5,65.94,4,0,0,0.082,0
16.08,12,23.95,2,1,0,0.793,0
89.07,20,12.7,4,0,0,0.409,0
49.66,0,21.25,4,0,0,0.271,0
80.51,6,64.01,1,0,1,0.816,0
80.95,19,35.9,0,0,0,0.134,0
13.15,14,37.21,3,0,1,0.789,0
201.08,4,16.99,4,0,1,0.102,0
18.83,17,5.07,3,1,1,0.871,1
49.52,16,2.66,1,1,0,0.444,0
42.07,12,39.68,3,0,0,0.274,0
187.57,20,0.6,5,1,0,0.635,0
74.44,17,2.74,3,1,1,0.064,0
174.88,16,0.35,6,1,0,0.478,0
81.95,11,3.78,2,1,1,0.535,0
65.26,17,12.18,1,0,0,0.617,0
29.85,18,37.85,5,0,1,0.307,0
41.74,23,5.82,3,0,0,0.243,0
69.4,4,3.35,2,1,0,0.179,0
86.48,19,52.54,0,1,1,0.028,0
35.16,15,16.38,1,1,0,0.336,0
273.35,8,9.69,3,0,1,0.27,0
90.42,11,25.61,4,1,0,0.917,0
22.06,11,16.13,0,1,1,0.705,0
295.97,11,2.66,3,1,1,0.398,0
12.4,0,3.56,4,1,0,0.679,0
99.27,1,40.15,3,1,1,0.46,1
38.82,1,20.7,2,1,0,0.753,0
322.67,10,20.66,5,0,1,0.771,0
154.24,12,5.23,2,0,1,0.684,0
20.85,18,5.83,4,1,1,0.693,1
182.88,17,11.82,3,0,0,0.691,0
8.89,18,5.31,4,0,1,0.063,0
154.22,14,9.32,3,1,0,0.698,0
63.93,16,28.92,3,1,0,0.054,0
26.93,12,21.28,3,1,1,0.567,0
178.58,6,7.22,1,0,1,0.517,0
145.37,19,0.81,5,0,0,0.8,0
81.22,23,1.74,6,1,1,0.803,1
89.16,8,3.12,3,0,0,0.47,0
100.25,12,9.96,1,1,1,0.73,0
47.0,5,10.49,3,1,0,0.938,0
117.29,19,11.24,3,1,1,0.53,0
10.4,2,2.83,8,1,0,0.942,1
2.27,22,9.78,6,1,0,0.686,0
106.45,18,19.5,4,1,0,0.453,0
98.71,20,29.16,2,1,1,0.131,0
34.31,22,1.41,1,1,1,0.541,0
22.71,5,4.03,2,0,0,0.071,0
250.31,4,0.63,3,0,0,0.557,0
39.98,22,8.32,5,1,1,0.514,0
36.51,16,14.77,0,0,1,0.189,0
25.35,8,0.04,4,1,1,0.135,0
148.33,5,5.73,2,1,1,0.355,0
7.31,9,8.28,8,1,1,0.445,1
55.23,6,13.29,1,1,1,0.094,0
32.63,4,2.81,7,0,1,0.224,1
57.76,7,8.11,1,0,1,0.523,0
130.14,15,21.79,1,1,1,0.761,0
40.99,11,7.1,3,1,1,0.42,1
50.6,9,10.5,3,1,0,0.193,0
10.28,2,59.62,4,1,0,0.627,1
38.55,4,2.87,2,0,1,0.805,0
23.19,20,3.06,2,1,0,0.401,0
84.01,21,4.85,6,0,1,0.099,0
52.67,7,1.63,3,1,1,0.6,0
42.9,15,0.24,2,1,1,0.332,0
77.96,19,7.2,1,0,1,0.012,0
27.1,8,9.73,1,1,0,0.976,0
21.42,22,28.14,2,0,1,0.07,0
4.99,0,63.87,4,1,1,0.724,1
61.75,14,7.38,1,0,0,0.718,0
66.12,13,37.1,4,1,1,0.711,1
62.59,18,24.34,2,0,1,0.911,1
36.95,19,1.28,3,1,0,0.769,0
187.83,3,26.04,1,0,0,0.124,0
31.28,13,0.82,2,1,0,0.815,0
393.38,9,0.51,3,1,0,0.422,0
49.48,10,21.14,3,1,1,0.311,0
28.95,2,22.69,4,0,1,0.764,1
44.35,19,27.24,1,0,0,0.057,0
61.02,5,6.51,5,0,0,0.202,0
95.99,5,13.5,5,0,1,0.493,0
428.03,18,20.71,5,1,0,0.44,1
75.34,20,5.0,4,0,1,0.941,0
133.72,6,1.16,2,0,1,0.189,0
164.39,5,12.05,2,1,0,0.682,0
101.74,13,29.24,5,1,1,0.489,1
447.05,4,3.73,5,0,1,0.054,0
46.98,23,0.74,4,0,1,0.722,0
35.14,17,6.87,1,1,0,0.014,0
19.42,22,20.33,4,1,1,0.992,1
49.95,17,11.47,2,0,0,0.444,0
8.01,7,23.3,3,1,0,0.395,0
122.15,9,30.04,1,0,0,0.516,0
32.64,22,6.49,2,0,0,0.104,0
125.17,1,1.34,3,1,1,0.683,1
93.74,18,12.63,2,0,1,0.965,0
19.75,22,58.55,1,1,1,0.678,1
535.38,9,4.66,7,0,1,0.283,0
30.42,9,38.59,3,0,0,0.085,0
28.1,19,35.79,2,0,1,0.419,0
43.46,4,23.76,2,0,0,0.308,0
105.53,8,23.06,3,1,0,0.708,0
22.38,22,3.61,0,0,0,0.086,0
146.75,15,9.89,3,1,0,0.191,0
75.37,15,12.18,3,1,0,0.789,0
54.67,2,18.41,2,1,0,0.144,0
23.05,1,3.62,3,1,0,0.893,0
72.71,15,39.42,3,0,1,0.803,0
50.13,10,2.49,1,0,0,0.308,0
8.63,1,5.25,3,0,1,0.096,0
89.41,11,13.99,1,1,0,0.56,0
25.66,13,74.91,1,0,1,0.426,0
47.62,12,80.62,3,0,1,0.185,0
27.11,22,49.33,7,0,0,0.369,1
45.89,6,22.44,1,0,1,0.465,0
41.16,0,5.33,1,1,1,0.252,0
44.52,13,26.73,2,0,1,0.262,0
41.28,17,34.91,1,1,1,0.578,1
32.99,6,3.06,2,0,0,0.563,0
177.92,13,6.31,6,1,1,0.25,0
101.02,9,21.0,2,1,0,0.938,0
