age,income,credit_score,employment_years,debt,credit_limit,previous_defaults,utilization,payment_history,default
59,92537.95,658.0,5,500.0,69455.49,1,0.2648,96.37,0
59,53530.9,697.0,32,19642.48,36531.13,0,0.6146,79.26,1
53,55421.04,549.0,33,23854.6,15999.57,0,0.107,71.59,1
44,54459.73,709.0,7,24320.38,37885.37,0,0.6521,79.87,1
55,82397.64,616.0,6,24806.05,13371.27,0,0.3425,92.26,1
34,97964.24,704.0,1,500.0,15815.83,1,0.3154,67.28,0
59,54905.51,581.0,33,1667.8,18342.03,0,0.3976,88.94,1
48,55654.98,728.0,24,41682.26,27891.05,0,0.4864,73.86,1
43,71909.7,762.0,26,5433.49,49991.5,0,0.4634,84.9,0
45,59593.25,635.0,10,25330.09,44254.37,1,0.2414,75.23,1
48,85945.18,610.0,22,9756.75,43367.93,0,0.4568,75.2,0
22,18000.0,539.0,2,18956.07,17417.21,2,0.2578,100.0,1
27,46812.49,671.0,23,10400.95,26338.97,0,0.1343,65.09,0
33,47786.84,649.0,20,24738.49,39352.02,1,0.4359,87.82,1
26,18000.0,581.0,11,19641.29,24946.88,0,0.4391,100.0,1
42,43799.95,722.0,24,12620.52,30546.14,0,0.1617,90.23,0
53,44866.57,659.0,22,5397.93,42061.74,2,0.3384,66.03,1
53,60575.7,615.0,15,21213.29,29419.64,0,0.1132,66.62,0
44,89485.25,651.0,6,3447.37,38616.95,0,0.7109,72.98,1
62,59608.67,765.0,0,23129.77,60483.66,0,0.2033,83.89,0
48,42322.1,732.0,32,49517.82,32250.26,1,0.389,84.71,0
24,63747.0,681.0,9,34202.04,53869.4,0,0.3912,66.74,1
58,88081.82,733.0,10,26620.17,43949.92,0,0.7311,71.53,1
49,43528.91,609.0,23,16972.71,11524.13,0,0.0787,72.26,1
52,44967.35,692.0,8,500.0,17365.81,1,0.799,79.83,1
48,77288.08,700.0,13,2132.56,21662.47,1,0.6379,100.0,1
48,60126.21,657.0,24,33393.51,21322.64,0,0.451,70.8,0
25,79244.66,720.0,20,8522.93,33555.36,0,0.4886,70.28,0
48,64699.77,635.0,22,9608.97,44834.3,0,0.4268,68.4,0
59,80436.6,726.0,0,16012.19,55082.53,0,0.1874,89.63,0
35,42228.28,729.0,15,5255.44,39930.8,0,0.4727,81.5,0
50,64734.14,486.0,16,3278.78,27869.13,0,0.527,71.25,1
22,60364.82,773.0,22,17394.31,3000.0,1,0.5914,77.65,0
38,38250.4,477.0,5,7301.65,36129.43,0,0.7702,72.5,1
42,30603.49,647.0,5,9107.78,35412.32,1,0.2057,85.55,1
69,80086.48,762.0,26,8625.71,37926.86,1,0.5792,100.0,0
31,57279.05,668.0,23,24268.32,68699.84,0,0.8369,88.61,1
34,42509.83,587.0,28,15214.49,54849.54,0,0.3735,80.88,1
41,62884.06,613.0,9,15857.14,47560.97,1,0.6949,74.02,1
69,89816.41,762.0,34,25163.35,19606.77,0,0.8574,65.88,0
62,18000.0,555.0,9,16295.52,26792.08,1,0.704,90.8,1
22,32073.95,769.0,22,14660.95,33482.49,1,0.6674,90.15,0
32,44696.5,686.0,5,23645.4,22593.49,3,0.5128,76.41,1
61,97145.94,607.0,32,26018.37,43007.43,1,0.4093,96.56,1
23,71216.91,649.0,11,16235.12,40710.54,0,0.5283,82.25,0
62,81880.98,619.0,28,18967.29,17587.08,0,0.7181,91.3,1
34,39916.46,751.0,11,8618.52,54149.07,1,0.5352,85.55,1
65,40370.21,741.0,27,7671.8,36636.97,0,0.4247,79.87,1
35,74851.9,570.0,15,27229.77,7334.86,0,0.4993,70.54,1
42,66282.04,662.0,2,23339.3,34178.51,0,0.5895,80.25,0
53,77072.25,630.0,6,23463.58,39499.3,1,0.2878,92.1,1
27,60871.24,781.0,23,21370.25,50564.68,0,0.2506,75.9,0
48,71119.16,595.0,6,18554.44,29600.38,1,0.5264,87.28,1
45,68478.62,802.0,9,26356.94,48247.01,1,0.5908,69.01,1
59,82110.88,688.0,18,29221.31,37994.27,2,0.0789,91.36,0
69,82754.18,609.0,8,28934.74,13959.13,0,0.6451,85.76,1
53,29362.82,643.0,4,16790.67,12357.33,0,0.3318,67.57,1
41,18000.0,634.0,21,34643.91,52960.96,0,0.6056,79.31,1
40,87038.4,601.0,24,20741.53,54135.75,1,0.3447,93.18,1
41,91129.95,697.0,25,25588.51,40166.55,0,0.5031,66.89,1
60,42546.29,604.0,33,21385.05,58931.31,0,0.5829,69.15,1
36,24083.62,537.0,4,20964.08,51905.76,0,0.4324,81.17,1
29,67178.77,663.0,14,9170.98,45938.06,1,0.565,100.0,1
37,85478.44,564.0,8,26416.21,20419.02,0,0.1907,73.93,1
22,104547.08,637.0,31,52143.53,62702.86,0,0.3297,87.94,0
26,76358.55,626.0,18,13502.46,43580.82,1,0.3325,85.12,1
25,56822.23,629.0,3,18851.94,28826.58,0,0.3322,74.93,1
58,45351.13,830.0,24,12645.54,24307.68,0,0.3259,83.93,0
56,65251.93,694.0,1,12143.76,39108.54,0,0.7479,76.63,1
55,58416.18,707.0,9,36533.39,8263.05,1,0.1662,77.71,1
43,42668.51,566.0,25,9924.35,46194.77,0,0.618,62.06,1
56,110072.62,644.0,17,12311.03,19742.87,1,0.4524,81.71,0
28,104273.7,705.0,26,500.0,40929.73,0,0.4487,92.79,0
65,89993.07,618.0,19,8908.66,26654.07,0,0.6804,82.69,0
45,44741.29,754.0,29,500.0,30769.3,0,0.4576,95.09,0
66,83810.43,606.0,19,25581.66,22889.44,1,0.6094,88.96,1
28,79071.78,670.0,1,51596.37,32420.33,2,0.7141,81.29,1
45,74736.0,649.0,2,13599.85,65230.07,0,0.3445,74.46,1
55,92492.64,702.0,27,500.0,57160.95,0,0.48,76.16,0
45,78978.17,645.0,1,28800.0,40671.66,1,0.147,64.35,1
42,81280.31,671.0,13,9276.9,34595.29,0,0.2583,78.8,1
29,79011.94,673.0,0,33592.16,48507.22,0,0.2892,83.75,1
39,72497.41,639.0,10,14615.65,53079.53,2,0.6369,100.0,1
32,25760.56,724.0,20,10418.21,21722.91,0,0.1686,88.34,0
35,66839.66,707.0,6,15864.51,33760.98,0,0.5406,71.62,1
54,52763.78,684.0,16,27093.32,5848.67,0,0.6945,64.73,1
51,36843.5,660.0,34,15270.95,52969.63,0,0.3196,79.52,0
50,101999.97,746.0,2,12039.3,68040.39,1,0.2632,91.74,0
38,103037.9,673.0,2,15614.02,36281.32,0,0.4805,79.35,1
68,94902.85,669.0,9,2737.74,3000.0,0,0.5088,88.5,0
25,70614.7,697.0,28,22764.38,44742.25,0,0.3576,79.83,1
37,94713.75,809.0,14,500.0,20534.57,0,0.5418,90.6,0
26,65265.17,596.0,22,12670.54,24386.41,0,0.6574,62.83,1
37,69461.54,744.0,1,27112.62,45025.22,1,0.3956,100.0,0
68,40943.63,557.0,25,21636.58,39072.87,0,0.1422,68.65,1
38,73733.81,705.0,2,25083.85,27190.26,0,0.3369,91.52,0
65,66328.49,800.0,24,17219.45,24606.31,0,0.2861,78.73,0
45,36341.65,724.0,5,32036.95,37013.38,0,0.6685,80.61,0
55,63873.66,702.0,30,29096.39,28448.55,1,0.2261,79.11,1
43,63245.95,651.0,10,23353.69,17252.21,1,0.5007,85.07,1
34,104546.35,692.0,6,29130.55,29678.99,0,0.5238,87.49,1
58,84672.69,672.0,11,27005.08,40433.48,0,0.1933,94.7,0
68,65251.8,635.0,0,12726.44,32150.34,0,0.6313,98.9,1
33,70473.32,670.0,5,1873.21,12383.86,1,0.6634,85.98,0
59,65972.67,704.0,20,23044.35,50825.03,0,0.4377,100.0,0
33,60535.89,636.0,10,24553.07,3000.0,1,0.4937,83.12,1
56,41186.6,634.0,12,31085.66,27858.16,0,0.2953,94.93,1
59,61676.86,595.0,28,6764.14,25076.82,1,0.5,87.14,1
43,48585.84,717.0,4,7122.83,37370.86,1,0.1524,75.41,0
57,37493.06,728.0,13,23518.8,43986.59,0,0.524,84.17,0
34,76246.88,706.0,6,17146.0,53028.24,1,0.2778,88.04,1
24,73607.82,758.0,16,500.0,23601.52,0,0.7265,81.61,1
25,25692.43,696.0,11,22501.3,44385.32,0,0.2483,86.95,0
42,62300.94,717.0,1,500.0,38133.09,0,0.3893,92.38,0
65,86905.43,711.0,2,6656.92,7615.37,0,0.5749,81.72,0
27,88302.92,684.0,29,34220.18,65408.64,0,0.4269,46.67,1
43,87568.41,653.0,1,39898.55,11979.6,1,0.4639,100.0,1
55,65856.09,845.0,27,3412.12,41711.96,0,0.2042,78.43,0
30,46409.0,658.0,32,14047.3,41239.36,0,0.4235,72.12,1
56,41158.63,643.0,16,18511.47,39410.19,1,0.4275,68.51,1
35,72581.31,720.0,10,39374.72,27086.77,0,0.3954,77.96,0
60,73344.16,708.0,27,12085.57,48236.04,0,0.6566,75.25,1
49,93321.28,592.0,34,12277.39,10034.12,0,0.249,73.16,1
47,89199.55,769.0,4,36584.71,33946.74,0,0.4017,73.81,0
29,62090.97,683.0,33,13502.53,25978.01,1,0.1227,88.36,1
43,37627.47,612.0,33,26666.42,24163.23,0,0.3475,100.0,1
62,57979.65,773.0,4,500.0,41859.96,0,0.107,91.85,0
21,69779.09,734.0,1,15945.21,52239.66,0,0.2594,95.47,0
58,60554.17,601.0,25,500.0,29507.91,0,0.7148,77.47,1
45,52286.33,814.0,2,5334.79,47490.9,1,0.5465,83.26,0
56,70563.47,736.0,21,28070.42,35795.85,1,0.6575,87.12,1
53,53912.93,689.0,2,17401.14,20716.28,0,0.3581,74.09,1
42,51182.55,801.0,24,14170.73,30872.77,0,0.4331,76.89,0
36,71851.96,701.0,8,9015.0,30208.23,0,0.6689,92.25,1
51,56156.16,688.0,3,15352.13,23853.44,1,0.3444,95.08,0
27,70370.3,644.0,2,21613.36,41855.73,0,0.4446,82.81,1
49,71010.49,731.0,6,29794.99,38754.34,0,0.2581,67.66,1
25,39932.56,723.0,18,500.0,9549.6,0,0.5561,78.45,0
52,54412.7,691.0,2,8018.87,8575.58,1,0.376,64.7,1
51,96631.09,635.0,28,19909.15,41794.95,0,0.5424,82.9,1
25,39434.25,699.0,21,16813.64,21955.42,0,0.2429,85.06,1
58,18433.6,685.0,10,22840.51,39832.66,0,0.6075,78.75,1
41,24039.41,597.0,34,21210.48,47494.91,0,0.2458,84.9,1
59,65640.42,587.0,23,14341.59,14664.75,0,0.083,87.0,1
23,65680.18,730.0,23,11677.76,12415.4,0,0.3154,85.08,1
29,62412.56,508.0,6,15053.98,61790.91,0,0.6545,67.58,1
45,91712.18,704.0,24,31784.91,40625.13,0,0.2943,78.96,0
30,18000.0,657.0,19,9215.9,28292.15,1,0.447,86.92,1
37,73710.55,782.0,34,17246.32,20056.95,0,0.3122,100.0,0
53,99351.64,655.0,16,20200.11,26832.95,0,0.5929,78.74,1
28,40188.82,736.0,23,36724.21,15950.84,0,0.7076,88.61,0
54,56644.26,662.0,11,14396.3,49134.59,1,0.3986,92.54,1
26,48436.38,698.0,1,29505.68,22571.98,0,0.2103,79.64,0
29,45324.39,742.0,4,32783.75,52496.55,2,0.3668,95.78,0
49,57822.24,658.0,30,17234.95,28589.94,0,0.644,96.43,0
59,96404.68,760.0,25,15471.37,18306.4,0,0.1855,98.56,0
29,105422.51,620.0,12,14051.36,28179.17,0,0.3945,87.5,0
35,57609.34,711.0,24,14930.12,3000.0,0,0.2925,100.0,0
66,106911.32,755.0,0,28250.88,33067.7,0,0.0492,74.62,0
69,65782.68,736.0,1,20772.12,32278.09,1,0.1942,100.0,0
49,103581.2,824.0,17,20823.48,48195.88,0,0.3127,91.22,0
42,62947.43,637.0,21,4497.32,4819.12,0,0.6502,98.08,0
37,67883.27,593.0,32,6390.12,53589.86,0,0.4472,78.16,0
51,73040.44,620.0,26,43721.36,48129.59,0,0.394,92.13,1
49,134934.78,736.0,9,15866.09,55032.7,1,0.5708,99.12,0
35,83728.28,725.0,28,8702.74,34156.46,1,0.3661,68.95,1
22,49440.18,697.0,17,35173.19,51222.35,1,0.1508,80.04,1
28,86317.95,611.0,28,21381.7,11460.1,1,0.3088,56.3,1
67,57039.68,744.0,6,24937.86,46408.76,0,0.3798,79.86,1
41,54225.5,604.0,0,16343.44,22661.4,0,0.6078,72.21,1
44,84989.23,771.0,2,14175.92,8577.57,1,0.2844,79.39,1
43,65683.88,850.0,34,15964.96,17013.75,1,0.3533,100.0,0
59,71128.67,716.0,2,1407.14,35088.5,1,0.3698,100.0,0
24,65307.67,731.0,32,16944.87,21811.21,0,0.4129,64.73,0
25,72404.83,655.0,25,21552.4,41017.18,1,0.6474,88.67,1
34,74349.25,563.0,5,40205.56,6068.2,0,0.5174,91.59,1
44,22386.73,648.0,30,19031.99,3000.0,0,0.3432,77.95,1
53,79664.6,613.0,5,500.0,56958.2,1,0.6236,84.14,1
45,43395.57,589.0,5,16872.17,49460.8,0,0.1558,85.31,0
42,33269.42,811.0,20,50874.05,18211.25,0,0.3204,65.84,0
66,63714.95,709.0,10,28396.39,34952.01,1,0.5286,69.62,1
28,66847.58,717.0,10,8269.33,51312.11,1,0.4946,84.07,1
49,49742.86,668.0,6,25093.28,41707.21,2,0.2851,83.19,1
47,83282.7,678.0,21,9095.84,37371.57,0,0.2937,73.5,0
44,35472.15,758.0,0,1754.31,52522.47,0,0.161,72.47,0
60,56047.24,688.0,8,13819.57,23308.6,1,0.349,80.92,1
34,52132.77,727.0,19,19098.32,35498.86,0,0.2184,92.63,0
67,63975.08,676.0,17,500.0,34714.42,1,0.2602,81.08,0
37,71135.01,666.0,24,4210.09,30635.81,1,0.388,100.0,0
47,42826.36,592.0,7,18124.03,28763.11,0,0.8045,73.65,1
46,80934.22,552.0,22,13101.92,36165.89,0,0.5109,84.32,1
62,66386.05,672.0,26,22737.74,35550.52,0,0.4474,77.75,0
42,23377.18,694.0,13,3423.98,18225.16,0,0.1001,89.06,1
34,21910.99,600.0,8,26569.36,47828.73,1,0.3607,72.62,1
22,64728.98,688.0,19,3794.89,19377.84,0,0.8351,100.0,0
38,60138.72,694.0,20,37712.81,31508.26,1,0.3496,61.71,1
61,62724.76,539.0,3,500.0,30275.51,0,0.5712,100.0,0
21,64384.39,626.0,19,4889.35,40729.66,1,0.3919,83.08,1
64,69962.32,719.0,5,23008.45,3000.0,0,0.5298,88.63,0
47,85848.29,717.0,19,37970.8,49254.56,0,0.5627,98.01,1
27,40555.69,609.0,32,21780.52,24168.15,1,0.6401,92.29,1
35,39216.62,701.0,18,24754.3,54519.41,0,0.058,73.24,0
48,40946.88,762.0,26,18210.44,27349.36,1,0.0661,89.2,0
36,71356.17,744.0,10,5683.22,34218.5,0,0.3525,100.0,0
26,92388.84,683.0,32,12118.34,65620.58,1,0.7063,71.35,1
53,55510.53,657.0,28,3457.08,30562.59,0,0.5321,100.0,0
53,18000.0,646.0,32,2655.48,54821.6,0,0.4397,86.63,1
26,27512.16,723.0,25,22820.99,35624.72,1,0.2902,76.8,0
34,46673.19,704.0,22,4521.86,41646.7,0,0.3975,71.28,1
32,52729.96,734.0,18,21834.65,36119.34,0,0.1933,79.32,0
53,56015.45,699.0,32,2378.13,48565.63,0,0.9141,58.54,1
56,65848.78,747.0,29,21556.6,24031.49,1,0.2793,77.02,0
56,58141.58,697.0,14,12135.81,19255.22,0,0.1923,78.84,1
66,88085.47,745.0,2,34879.39,24782.78,0,0.2983,69.11,0
58,50127.62,751.0,0,21884.63,36595.37,0,0.6483,90.97,0
36,46029.0,634.0,8,32829.39,31466.9,0,0.6014,79.37,1
26,75535.26,563.0,2,8932.24,46364.4,1,0.6966,74.37,1
51,31215.87,798.0,7,18673.72,55875.71,0,0.2697,78.1,0
65,73573.22,708.0,3,6226.95,19386.59,0,0.5738,86.26,1
68,67256.17,570.0,34,13036.74,23256.82,0,0.4098,82.88,1
32,61756.27,640.0,3,14854.75,12020.17,0,0.4995,73.59,1
32,99942.07,744.0,21,9289.7,67485.97,0,0.1505,83.51,0
22,51311.44,670.0,12,3413.97,39874.71,0,0.5448,81.39,0
27,110326.56,654.0,6,1037.79,42676.84,1,0.855,68.33,1
48,60040.51,788.0,24,500.0,13556.67,0,0.2725,78.54,0
47,36905.64,617.0,33,5323.84,34981.28,1,0.1563,88.95,1
39,66538.23,634.0,27,25529.93,43147.97,0,0.9176,88.87,1
36,41322.61,705.0,34,500.0,30955.88,1,0.5725,79.24,1
61,48461.37,717.0,20,1582.53,52211.29,0,0.5636,90.12,0
43,73734.73,725.0,23,39490.78,71989.3,1,0.7488,70.24,1
60,77222.81,754.0,5,10362.05,19846.99,1,0.6819,70.61,1
68,51312.31,704.0,29,21852.55,18646.6,1,0.2937,78.98,1
36,86722.91,724.0,26,25707.81,20955.9,0,0.1763,99.97,0
30,90465.17,672.0,8,25950.31,60699.19,0,0.6752,83.96,1
67,96598.64,694.0,12,500.0,51677.69,1,0.2648,78.7,0
52,76647.09,698.0,21,15227.28,32831.55,1,0.2236,100.0,1
35,94995.43,705.0,0,500.0,35584.95,0,0.7482,78.56,0
51,23622.43,744.0,28,47355.81,21935.3,0,0.2272,100.0,0
46,58006.06,729.0,9,500.0,49240.43,0,0.3617,75.86,0
65,45925.88,693.0,2,5425.92,28921.57,1,0.7409,69.86,0
33,67622.97,633.0,11,5512.79,30838.78,0,0.1108,80.0,0
69,52428.12,695.0,29,500.0,44740.64,0,0.7939,79.01,0
66,61344.53,688.0,9,34231.13,31992.08,0,0.1113,72.31,0
29,106407.85,704.0,18,47069.37,31240.54,0,0.3126,100.0,0
29,61266.16,844.0,28,12291.01,35169.2,1,0.1621,85.82,0
47,74103.43,653.0,1,2154.92,47725.69,0,0.37,87.57,0
23,59890.07,720.0,26,500.0,61343.89,0,0.4312,76.46,0
35,66665.69,765.0,10,15070.7,44367.78,0,0.1943,75.07,0
42,65132.37,697.0,24,14203.61,47853.03,0,0.4011,94.31,1
68,74863.13,850.0,6,10184.45,31802.34,0,0.2101,61.89,0
69,90636.77,664.0,4,20656.5,23675.23,0,0.4281,68.29,1
28,101242.67,713.0,27,22742.08,45463.78,2,0.2188,79.03,1
64,71811.64,634.0,28,21877.0,37739.85,1,0.4464,98.21,1
25,77970.03,665.0,34,14206.5,12237.94,1,0.1777,77.51,1
57,39680.98,707.0,23,4780.54,29750.89,0,0.4107,86.99,0
62,63066.71,749.0,16,25990.0,33673.65,0,0.1986,82.33,0
64,85686.37,712.0,6,18150.17,26832.67,0,0.3047,97.56,0
31,84051.31,778.0,10,28660.29,58707.77,2,0.4786,62.98,1
64,69655.41,683.0,22,27480.91,42677.42,0,0.2061,90.83,0
26,84500.67,667.0,12,938.86,56970.8,0,0.0659,79.61,0
46,75796.87,850.0,16,789.33,39214.8,0,0.0568,93.1,0
44,91406.74,718.0,5,8933.51,36302.21,2,0.451,72.17,1
36,71365.9,640.0,15,5324.82,20014.43,0,0.6052,82.29,1
22,57174.64,641.0,8,27063.02,35190.87,0,0.7054,80.77,1
58,72388.51,624.0,3,22215.72,35208.86,0,0.6183,69.97,1
37,18000.0,756.0,4,31190.21,13126.18,0,0.282,66.64,0
53,73423.49,664.0,18,22757.84,26367.56,0,0.8968,75.04,1
41,18000.0,699.0,12,20503.79,29827.48,0,0.6994,83.56,0
39,27083.81,686.0,3,32396.76,41615.67,0,0.6959,72.92,1
64,74938.91,741.0,18,23636.73,42381.6,0,0.2502,78.04,0
25,75505.65,631.0,5,18817.21,25698.9,1,0.5662,59.37,1
57,39426.57,615.0,0,35765.44,42501.91,1,0.4433,77.55,1
57,49333.76,706.0,4,19382.17,32086.74,0,0.252,94.28,1
39,95151.9,732.0,15,14347.91,3000.0,0,0.7681,90.46,1
33,54351.34,713.0,33,7946.12,27244.77,1,0.1805,80.96,1
21,114344.25,633.0,8,26436.31,52263.82,0,0.1967,84.92,0
66,64957.76,737.0,9,32844.61,8091.11,0,0.4912,72.06,0
67,73976.8,638.0,8,17392.95,36803.06,1,0.2977,100.0,1
32,100571.24,653.0,12,33694.99,60364.18,0,0.2567,100.0,0
22,67882.6,624.0,25,500.0,22830.19,1,0.2794,83.98,0
27,42948.43,781.0,11,17334.56,35034.39,0,0.5937,100.0,1
24,62586.0,734.0,23,17518.86,14135.74,1,0.8162,73.84,1
61,64216.56,732.0,31,9276.07,61035.7,0,0.4763,66.99,0
